class,crop,precision,recall,f1,false_negative_rate,true_positive,false_positive,false_negative,support
Cashew anthracnose,Cashew,0.939914,0.943966,0.941935,0.056034,219,14,13,232
Cashew gumosis,Cashew,1.000000,1.000000,1.000000,0.000000,58,0,0,58
Cashew healthy,Cashew,0.966667,0.977528,0.972067,0.022472,174,6,4,178
Cashew leaf miner,Cashew,0.946237,0.921466,0.933687,0.078534,176,10,15,191
Cashew red rust,Cashew,0.982143,0.990991,0.986547,0.009009,220,4,2,222
Cassava bacterial blight,Cassava,0.941019,0.948649,0.944818,0.051351,351,22,19,370
Cassava brown spot,Cassava,0.943396,0.921659,0.932401,0.078341,200,12,17,217
Cassava green mite,Cassava,0.977941,0.904762,0.939929,0.095238,133,3,14,147
Cassava healthy,Cassava,0.933735,0.987261,0.959752,0.012739,155,11,2,157
Cassava mosaic,Cassava,0.969880,0.993827,0.981707,0.006173,161,5,1,162
Maize fall armyworm,Maize,0.888889,0.952381,0.919540,0.047619,40,5,2,42
Maize grasshoper,Maize,0.969697,0.960000,0.964824,0.040000,96,3,4,100
Maize healthy,Maize,0.833333,0.967742,0.895522,0.032258,30,6,1,31
Maize leaf beetle,Maize,0.984252,0.925926,0.954198,0.074074,125,2,10,135
Maize leaf blight,Maize,0.784615,0.698630,0.739130,0.301370,102,28,44,146
Maize leaf spot,Maize,0.740385,0.850829,0.791774,0.149171,154,54,27,181
Maize streak virus,Maize,0.909774,0.840278,0.873646,0.159722,121,12,23,144
Tomato healthy,Tomato,0.952381,0.923077,0.937500,0.076923,60,3,5,65
Tomato leaf blight,Tomato,0.756410,0.644809,0.696165,0.355191,118,38,65,183
Tomato leaf curl,Tomato,0.671429,0.681159,0.676259,0.318841,47,23,22,69
Tomato septoria leaf spot,Tomato,0.789790,0.842949,0.815504,0.157051,263,70,49,312
Tomato_verticulium_wilt,Tomato,0.692982,0.745283,0.718182,0.254717,79,35,27,106
